"Data Source","World Development Indicators",

"Last Updated Date","2017-04-27",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Denmark","DNK","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","6.02943","6.48275","6.55638","6.32187","6.63196","6.75038","","5.68559","5.76126","5.59097","5.93262","","","","","","5.85677","6.0928","6.3596","5.8654","","5.60722","","7.78547","7.47189","7.47103","7.88494","","8.10674","7.93116","8.08433","8.21545","8.21303","8.12194","8.21188","8.08275","7.72783","7.61377","7.49236","8.48796","8.61798","8.5471","7.28541","8.61116","","","",
"Dominican Republic","DOM","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","2.64097","","","","","","","","","","","","1.59754","1.56546","1.49779","1.21019","","","","","","","","0.78019","0.90279","1.04848","1.23468","","","","1.91261","2.0237","1.97101","1.87636","","","","2.05124","","","","","","","","","",
"Algeria","DZA","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","7.18201","6.59742","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.33702","","","","","","","","",
"East Asia & Pacific (excluding high income)","EAP","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.445255","2.89631","3.733065","","","4.26056","2.743325","2.99708","","2.74847","","","3.07842","3.5085","3.8638","4.077705","4.708655","4.53977","4.12839","","","",
"Early-demographic dividend","EAR","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.22041","4.006875","4.25042","3.754745","3.94925","3.366425","","3.83542","3.531625","4.05765","","3.87112","3.78291","3.86763","","","","",
"East Asia & Pacific","EAS","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","2.95533","","3.90329","","","","","","","","","","","","","3.09362","","","","","","3.57129","3.82877","","3.85395","3.69264","3.90511","3.46368","3.5085","4.53098","3.78135","4.60903","4.53977","3.972555","","","",
"Europe & Central Asia (excluding high income)","ECA","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.36615","","","3.61808","3.25662","3.29053","3.22732","3.35405","3.214375","3.51215","3.40348","3.65297","4.10175","4.22797","","3.93511","3.938905","","","","",
"Europe & Central Asia","ECS","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.625465","4.646305","","4.50174","4.52336","4.29886","4.68049","4.65875","5.08732","4.91181","4.9723","4.94477","4.71388","5.04076","5.30918","5.35096","5.0054","4.81309","5.005655","","","",
"Ecuador","ECU","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","2.00283","1.8794","","","","","","2.41884","","","","","","","4.20342","5.23335","6.87238","","","","","","","","","1.99764","","","2.19537","1.54734","1.15093","","","","","","","","","4.34242","4.50743","4.72689","4.64307","5.02331","5.30316","4.92033","",
"Egypt, Arab Rep.","EGY","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","4.74202","4.72636","","5.48853","5.00846","5.02737","4.53443","4.86171","","4.2498","","5.30415","5.64235","","","","","4.51937","4.59159","","","4.09639","4.1977","4.58376","4.604","4.67157","","","","","","","4.94563","4.67072","4.79443","4.00178","3.68461","3.76083","","","","","","","","",
"Euro area","EMU","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","3.72775","","","4.22762","4.721875","4.351725","","4.3325","4.79335","","5.10536","5.06212","4.843485","4.819975","","4.82645","4.60277","4.566005","","4.54384","4.79737","","4.84047","4.697185","4.701495","4.796945","","4.59865","4.80128","4.893635","5.33506","5.40916","5.10851","5.07847","5.07076","4.90802","4.81885","5.201535","5.57816","5.541035","5.319055","4.9464","5.27787","","","",
"Eritrea","ERI","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.63855","","4.62058","5.26281","","4.04716","3.5239","","3.14897","","2.127","","","","","","","","","","",
"Spain","ESP","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","1.838","1.89443","2.07027","","1.46353","","1.90457","2.08283","2.2368","2.34442","","","","","","","","3.1367","3.33737","3.56145","3.64349","3.75254","3.84761","4.25645","4.49689","4.44671","4.46852","","4.30296","4.27052","4.17637","4.11988","4.13603","4.16717","4.14829","4.13003","4.16759","4.23332","4.50101","4.86779","4.81922","4.8665","4.41889","4.30493","","","",
"Estonia","EST","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.07306","6.10584","6.44819","6.2986","6.68736","5.34021","5.23648","5.46868","5.29462","4.91181","4.84485","","4.66396","5.51751","5.95415","5.52627","5.01738","4.69431","4.81737","","","",
"Ethiopia","ETH","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","2.11235","2.30206","2.11203","2.33757","2.13795","","","","","","","2.35421","","","2.77462","2.75794","","","3.98311","3.70029","3.63245","","","","5.49096","5.45113","5.4082","4.42207","4.49659","5.48576","5.56678","4.49855","","","",
